Time,1. 1D dub lanzhot,3. 2D dub lanzhot,6. 3D dub lanzhot,9. 4D dub lanzhot,12. 5D dub lanzhot
12/12/2019 12:00,25.87785149,21.11266327,20.8182888,23.84531212,22.89924622
12/12/2019 13:00,25.89140892,21.11266327,20.82216263,23.84918594,22.90118217
12/12/2019 14:00,25.89431381,21.12137794,20.82700348,23.85402679,22.90118217
12/12/2019 15:00,25.89818764,21.12718773,20.82797241,23.85790062,22.90312004
12/12/2019 16:00,25.89915466,21.13203049,20.82797241,23.85596275,22.90312004
12/12/2019 17:00,25.90399742,21.1359024,20.82797241,23.85790062,22.90408707
12/12/2019 18:00,25.90496635,21.1388092,20.82603455,23.85983658,22.90215111
12/12/2019 19:00,25.90593338,21.13977623,20.82700348,23.86080551,22.905056
12/12/2019 20:00,25.90302849,21.14268112,20.82990837,23.86177254,22.90408707
12/12/2019 21:00,25.90593338,21.13977623,20.83281326,23.86274147,22.90408707
12/12/2019 22:00,25.90496635,21.14074516,20.83184433,23.8637104,22.905056
12/12/2019 23:00,25.90399742,21.14268112,20.8337822,23.86564636,22.90408707
12/13/2019,25.90593338,21.1417141,20.83475113,23.8666153,22.90602493
12/13/2019 1:00,25.90690231,21.14074516,20.83184433,23.86855125,22.90602493
12/13/2019 2:00,25.90593338,21.14074516,20.8337822,23.87145615,22.905056
12/13/2019 3:00,25.90787125,21.14268112,20.83281326,23.87145615,22.90602493
12/13/2019 4:00,25.90883827,21.1417141,20.83281326,23.87339401,22.90602493
12/13/2019 5:00,25.90883827,21.14074516,20.83475113,23.87436104,22.90796089
12/13/2019 6:00,25.90787125,21.14074516,20.83571815,23.87532997,22.90892982
12/13/2019 7:00,25.90787125,21.13977623,20.83668709,23.87726593,22.90796089
12/13/2019 8:00,25.9127121,21.15042877,20.85121155,23.88791847,22.91473961
12/13/2019 9:00,25.9127121,21.14945984,20.85411644,23.89275932,22.92829514
12/13/2019 10:00,25.91464806,21.15720749,20.85411644,23.88985443,22.94185257
12/13/2019 11:00,25.91464806,21.16592216,20.86089516,23.89663315,22.94185257
12/13/2019 12:00,25.91368103,21.17076302,20.87251472,23.90534782,22.96315575
12/13/2019 13:00,25.91561699,21.17270088,20.8715477,23.90534782,22.96121979
12/13/2019 14:00,25.92045975,21.17270088,20.8715477,23.9043808,22.96025085
12/13/2019 15:00,25.92239571,21.17076302,20.8715477,23.90147591,22.95928192
12/13/2019 16:00,25.92142677,21.17270088,20.86960983,23.90341187,22.96025085
12/13/2019 17:00,25.92336464,21.17366791,20.8715477,23.90534782,22.95928192
12/13/2019 18:00,25.92336464,21.17270088,20.87057877,23.9043808,22.95928192
12/13/2019 19:00,25.92239571,21.17366791,20.8715477,23.90147591,22.96025085
12/13/2019 20:00,25.92239571,21.17366791,20.8715477,23.9043808,22.96025085
12/13/2019 21:00,25.92239571,21.1765728,20.8715477,23.90825272,22.96315575
12/13/2019 22:00,25.9253006,21.1765728,20.8715477,23.90825272,22.96121979
12/13/2019 23:00,25.92336464,21.1765728,20.8715477,23.90631676,22.96121979
12/14/2019,25.92433167,21.17754173,20.87251472,23.90728569,22.96218872
12/14/2019 1:00,25.92433167,21.17851067,20.87251472,23.90922165,22.96315575
12/14/2019 2:00,25.92433167,21.17851067,20.87251472,23.91019058,22.96509361
12/14/2019 3:00,25.92336464,21.1765728,20.87251472,23.91019058,22.96412468
12/14/2019 4:00,25.92239571,21.17851067,20.8715477,23.91019058,22.96315575
12/14/2019 5:00,25.92433167,21.17851067,20.87251472,23.91019058,22.96218872
12/14/2019 6:00,25.92239571,21.17947769,20.87251472,23.90825272,22.96218872
12/14/2019 7:00,25.92433167,21.17851067,20.87251472,23.91115952,22.95928192
12/14/2019 8:00,25.92433167,21.17851067,20.87251472,23.90922165,22.96121979
12/14/2019 9:00,25.92142677,21.17754173,20.87251472,23.91115952,22.96218872
12/14/2019 10:00,25.9253006,21.1765728,20.86864281,23.90922165,22.96121979
12/14/2019 11:00,25.91949081,21.17270088,20.85992622,23.90922165,22.96025085
12/14/2019 12:00,25.92239571,21.17947769,20.86573792,23.91406441,22.95928192
12/14/2019 13:00,25.93111038,21.17851067,20.86380005,23.91406441,22.96025085
12/14/2019 14:00,25.93207932,21.18044662,20.86670494,23.91309547,22.95928192
12/14/2019 15:00,25.93111038,21.18238258,20.86670494,23.91406441,22.96121979
12/14/2019 16:00,25.94176292,21.18528938,20.86960983,23.92181015,22.96025085
12/14/2019 17:00,25.93692017,21.18335152,20.86864281,23.92084122,22.96025085
12/14/2019 18:00,25.95435143,21.18625641,20.86864281,23.93052483,22.97671318
12/14/2019 19:00,25.94854164,21.18819427,20.86864281,23.9295578,22.97671318
12/14/2019 20:00,25.9630661,21.1891613,20.8715477,23.93246269,22.98445892
12/14/2019 21:00,25.96403503,21.19013023,20.87541962,23.93149376,22.99026871
12/14/2019 22:00,25.96790695,21.19303513,20.87638855,23.93052483,22.99317551
12/14/2019 23:00,25.96597099,21.19303513,20.87735748,23.9295578,22.99220657
12/15/2019,25.9630661,21.19303513,20.87832642,23.93052483,22.99220657
12/15/2019 1:00,25.96209717,21.19303513,20.87541962,23.93246269,22.99414253
12/15/2019 2:00,25.9630661,21.19400406,20.87638855,23.93342972,22.98833275
12/15/2019 3:00,25.96693993,21.19303513,20.87638855,23.93246269,22.99511147
12/15/2019 4:00,25.96790695,21.19303513,20.87541962,23.93342972,22.99898529
12/15/2019 5:00,25.96887589,21.19400406,20.87445259,23.93246269,22.9960804
12/15/2019 6:00,25.96887589,21.19303513,20.87445259,23.93246269,22.9960804
12/15/2019 7:00,25.96403503,21.19594002,20.87735748,23.93342972,22.99414253
12/15/2019 8:00,25.96112823,21.19303513,20.87735748,23.93633461,22.99123764
12/15/2019 9:00,25.96112823,21.19400406,20.87541962,23.93730354,22.98639679
12/15/2019 10:00,25.96016121,21.19303513,20.87445259,23.93633461,22.98445892
12/15/2019 11:00,25.94854164,21.19013023,20.86767387,23.93633461,22.9834919
